datetime,test,prediccion
2020-07-11 22:00:00+00:00,52.54,47.53195
2020-07-11 23:00:00+00:00,52.3,41.83228
2020-07-12 00:00:00+00:00,50.49,42.014553
2020-07-12 01:00:00+00:00,49.87,40.733482
2020-07-12 02:00:00+00:00,44.52,41.113678
2020-07-12 03:00:00+00:00,50.01,42.834145
2020-07-12 04:00:00+00:00,43.94,44.23785
2020-07-12 05:00:00+00:00,45.65,38.593536
2020-07-12 06:00:00+00:00,43.55,44.457443
2020-07-12 07:00:00+00:00,42.73,45.753876
2020-07-12 08:00:00+00:00,41.14,41.63221
2020-07-12 09:00:00+00:00,40.98,36.387623
2020-07-12 10:00:00+00:00,41.71,47.06685
2020-07-12 11:00:00+00:00,106.49,106.67314
2020-07-12 12:00:00+00:00,106.26,108.67146
2020-07-12 13:00:00+00:00,105.71,100.841225
2020-07-12 14:00:00+00:00,105.48,104.20829
2020-07-12 15:00:00+00:00,106.27,103.719345
2020-07-12 16:00:00+00:00,111.57,102.784805
2020-07-12 17:00:00+00:00,118.29,110.529724
2020-07-12 18:00:00+00:00,118.95,115.72973
2020-07-12 19:00:00+00:00,120.43,115.91486
2020-07-12 20:00:00+00:00,120.78,116.90819
2020-07-12 21:00:00+00:00,52.22,49.748814
2020-07-12 22:00:00+00:00,45.7,44.39591
2020-07-12 23:00:00+00:00,41.03,43.957893
2020-07-13 00:00:00+00:00,40.21,41.8226
2020-07-13 01:00:00+00:00,40.41,43.00782
2020-07-13 02:00:00+00:00,40.38,44.036835
2020-07-13 03:00:00+00:00,40.89,42.81526
2020-07-13 04:00:00+00:00,48.73,43.786793
2020-07-13 05:00:00+00:00,50.59,44.464176
2020-07-13 06:00:00+00:00,51.21,56.371353
2020-07-13 07:00:00+00:00,51.65,55.62408
2020-07-13 08:00:00+00:00,50.85,55.55853
2020-07-13 09:00:00+00:00,49.21,48.503544
2020-07-13 10:00:00+00:00,51.99,47.61893
2020-07-13 11:00:00+00:00,117.73,109.10176
2020-07-13 12:00:00+00:00,117.2,114.663765
