datetime,test,prediccion
2020-07-11 22:00:00+00:00,52.54,48.178493
2020-07-11 23:00:00+00:00,52.3,45.271957
2020-07-12 00:00:00+00:00,50.49,42.58761
2020-07-12 01:00:00+00:00,49.87,42.16703
2020-07-12 02:00:00+00:00,44.52,41.92161
2020-07-12 03:00:00+00:00,50.01,39.15348
2020-07-12 04:00:00+00:00,43.94,39.241272
2020-07-12 05:00:00+00:00,45.65,41.25777
2020-07-12 06:00:00+00:00,43.55,41.447044
2020-07-12 07:00:00+00:00,42.73,42.77724
2020-07-12 08:00:00+00:00,41.14,39.94748
2020-07-12 09:00:00+00:00,40.98,38.323906
2020-07-12 10:00:00+00:00,41.71,47.07953
2020-07-12 11:00:00+00:00,106.49,104.23663
2020-07-12 12:00:00+00:00,106.26,92.805725
2020-07-12 13:00:00+00:00,105.71,85.741936
2020-07-12 14:00:00+00:00,105.48,87.410774
2020-07-12 15:00:00+00:00,106.27,86.71442
2020-07-12 16:00:00+00:00,111.57,88.21265
2020-07-12 17:00:00+00:00,118.29,94.85097
2020-07-12 18:00:00+00:00,118.95,112.7078
2020-07-12 19:00:00+00:00,120.43,115.76596
2020-07-12 20:00:00+00:00,120.78,118.55662
2020-07-12 21:00:00+00:00,52.22,49.855362
2020-07-12 22:00:00+00:00,45.7,46.498783
2020-07-12 23:00:00+00:00,41.03,42.462105
2020-07-13 00:00:00+00:00,40.21,40.69288
2020-07-13 01:00:00+00:00,40.41,39.800316
2020-07-13 02:00:00+00:00,40.38,36.853275
2020-07-13 03:00:00+00:00,40.89,35.698368
2020-07-13 04:00:00+00:00,48.73,45.631092
2020-07-13 05:00:00+00:00,50.59,51.272614
2020-07-13 06:00:00+00:00,51.21,49.754406
2020-07-13 07:00:00+00:00,51.65,52.34
2020-07-13 08:00:00+00:00,50.85,48.842537
2020-07-13 09:00:00+00:00,49.21,47.827396
2020-07-13 10:00:00+00:00,51.99,43.125755
2020-07-13 11:00:00+00:00,117.73,108.83399
2020-07-13 12:00:00+00:00,117.2,113.60414
2020-07-13 13:00:00+00:00,116.01,96.60779
2020-07-13 14:00:00+00:00,116.34,98.2889
2020-07-13 15:00:00+00:00,118.67,112.26794
2020-07-13 16:00:00+00:00,119.32,111.05921
2020-07-13 17:00:00+00:00,119.68,113.3856
2020-07-13 18:00:00+00:00,120.51,115.52328
2020-07-13 19:00:00+00:00,120.6,119.02197
2020-07-13 20:00:00+00:00,119.35,120.76883
2020-07-13 21:00:00+00:00,48.91,56.740433
2020-07-13 22:00:00+00:00,51.6,48.00532
2020-07-13 23:00:00+00:00,44.61,45.282482
2020-07-14 00:00:00+00:00,42.95,44.621822
2020-07-14 01:00:00+00:00,41.12,44.393555
2020-07-14 02:00:00+00:00,40.79,43.35671
2020-07-14 03:00:00+00:00,42.99,42.411587
2020-07-14 04:00:00+00:00,47.63,49.527622
2020-07-14 05:00:00+00:00,50.48,45.731503
2020-07-14 06:00:00+00:00,50.78,49.80293
2020-07-14 07:00:00+00:00,51.99,51.51594
2020-07-14 08:00:00+00:00,52.08,50.234386
2020-07-14 09:00:00+00:00,51.12,50.19738
2020-07-14 10:00:00+00:00,52.18,52.078087
2020-07-14 11:00:00+00:00,118.06,115.71694
2020-07-14 12:00:00+00:00,116.03,113.940834
2020-07-14 13:00:00+00:00,115.65,116.38828
2020-07-14 14:00:00+00:00,115.5,112.973076
2020-07-14 15:00:00+00:00,115.96,115.52493
2020-07-14 16:00:00+00:00,118.32,115.8474
2020-07-14 17:00:00+00:00,119.37,115.58884
2020-07-14 18:00:00+00:00,121.34,117.703316
2020-07-14 19:00:00+00:00,122.08,119.976074
2020-07-14 20:00:00+00:00,120.6,120.65622
2020-07-14 21:00:00+00:00,51.97,58.73519
2020-07-14 22:00:00+00:00,51.26,50.014584
2020-07-14 23:00:00+00:00,48.78,44.06202
2020-07-15 00:00:00+00:00,44.5,44.771587
2020-07-15 01:00:00+00:00,44.05,41.902397
2020-07-15 02:00:00+00:00,42.67,41.25576
